Genome Abbreviated ID,Genome full ID,Source dataset,Dataset type,Dataset ID,Genome topology,Genome length,ANI clustering status,ANI cluster,Predicted completeness,List of virophage marker genes,gwAAI group,MCP tree group,Blast-based affiliation,Dataset publication doi (or other comparable reference),Proposal doi (for JGI datasets)
IMG_VR_0840,IMGVR_UViG_3300010885_000083|3300010885|Ga0133913_10027333,IMG_VR v3,Metagenome,3300010885,Linear,15281,Seed,IMG_VR_0840,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Burtonviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0841,IMGVR_UViG_3300010885_000084|3300010885|Ga0133913_10027335,IMG_VR v3,Metagenome,3300010885,DTR,15158,Seed,IMG_VR_0841,Complete,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Unclassified,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0842,IMGVR_UViG_3300010885_000085|3300010885|Ga0133913_10028243,IMG_VR v3,Metagenome,3300010885,Linear,15035,Seed,IMG_VR_0842,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Omnilimnoviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0843,IMGVR_UViG_3300010885_000086|3300010885|Ga0133913_10028904,IMG_VR v3,Metagenome,3300010885,Linear,14862,Seed,IMG_VR_0843,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Unclassified,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0844,IMGVR_UViG_3300010885_000088|3300010885|Ga0133913_10029435,IMG_VR v3,Metagenome,3300010885,Linear,14731,Seed,IMG_VR_0844,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Unclassified,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0845,IMGVR_UViG_3300010885_000089|3300010885|Ga0133913_10030603,IMG_VR v3,Metagenome,3300010885,Linear,14454,Seed,IMG_VR_0845,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Gulliviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0846,IMGVR_UViG_3300010885_000090|3300010885|Ga0133913_10030734,IMG_VR v3,Metagenome,3300010885,Linear,14428,Clustered,IMG_VR_0611,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0847,IMGVR_UViG_3300010885_000091|3300010885|Ga0133913_10030843,IMG_VR v3,Metagenome,3300010885,Linear,14402,Seed,IMG_VR_0847,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Burtonviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0848,IMGVR_UViG_3300010885_000092|3300010885|Ga0133913_10031394,IMG_VR v3,Metagenome,3300010885,Linear,14263,Seed,IMG_VR_0848,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Burtonviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0849,IMGVR_UViG_3300010885_000093|3300010885|Ga0133913_10031436,IMG_VR v3,Metagenome,3300010885,Linear,14253,Seed,IMG_VR_0849,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Burtonviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0850,IMGVR_UViG_3300010885_000094|3300010885|Ga0133913_10031625,IMG_VR v3,Metagenome,3300010885,Linear,14205,Clustered,IMG_VR_0742,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0851,IMGVR_UViG_3300010885_000095|3300010885|Ga0133913_10032404,IMG_VR v3,Metagenome,3300010885,Linear,14043,Seed,IMG_VR_0851,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Unclassified,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0852,IMGVR_UViG_3300010885_000096|3300010885|Ga0133913_10032494,IMG_VR v3,Metagenome,3300010885,Linear,14021,Clustered,IMG_VR_1301,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0853,IMGVR_UViG_3300010885_000097|3300010885|Ga0133913_10032612,IMG_VR v3,Metagenome,3300010885,Linear,13994,Seed,IMG_VR_0853,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Burtonviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0854,IMGVR_UViG_3300010885_000098|3300010885|Ga0133913_10032769,IMG_VR v3,Metagenome,3300010885,Linear,13957,Seed,IMG_VR_0854,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Burtonviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0855,IMGVR_UViG_3300010885_000099|3300010885|Ga0133913_10032810,IMG_VR v3,Metagenome,3300010885,Linear,13950,Seed,IMG_VR_0855,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Omnilimnoviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0856,IMGVR_UViG_3300010885_000100|3300010885|Ga0133913_10032857,IMG_VR v3,Metagenome,3300010885,Linear,13940,Clustered,IMG_VR_0551,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0857,IMGVR_UViG_3300010885_000101|3300010885|Ga0133913_10033257,IMG_VR v3,Metagenome,3300010885,Linear,13850,Seed,IMG_VR_0857,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Omnilimnoviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0858,IMGVR_UViG_3300010885_000102|3300010885|Ga0133913_10034462,IMG_VR v3,Metagenome,3300010885,Linear,13600,Seed,IMG_VR_0858,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Unclassified,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0859,IMGVR_UViG_3300010885_000103|3300010885|Ga0133913_10034807,IMG_VR v3,Metagenome,3300010885,Linear,13523,Seed,IMG_VR_0859,Partial,ATPase MCP Penton,NA,NA,Maveriviricetes;Priklausovirales;Omnilimnoviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0860,IMGVR_UViG_3300010885_000104|3300010885|Ga0133913_10035021,IMG_VR v3,Metagenome,3300010885,Linear,13478,Clustered,IMG_VR_1365,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0861,IMGVR_UViG_3300010885_000105|3300010885|Ga0133913_10035946,IMG_VR v3,Metagenome,3300010885,Linear,13289,Clustered,IMG_VR_0560,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0862,IMGVR_UViG_3300010885_000106|3300010885|Ga0133913_10036779,IMG_VR v3,Metagenome,3300010885,Linear,13132,Clustered,IMG_VR_0544,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0863,IMGVR_UViG_3300010885_000107|3300010885|Ga0133913_10036964,IMG_VR v3,Metagenome,3300010885,Linear,13101,Seed,IMG_VR_0863,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Dishuiviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0864,IMGVR_UViG_3300010885_000108|3300010885|Ga0133913_10037881,IMG_VR v3,Metagenome,3300010885,Linear,12934,Seed,IMG_VR_0864,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Burtonviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0865,IMGVR_UViG_3300010885_000109|3300010885|Ga0133913_10038945,IMG_VR v3,Metagenome,3300010885,Linear,12761,Clustered,IMG_VR_1304,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0866,IMGVR_UViG_3300010885_000110|3300010885|Ga0133913_10039029,IMG_VR v3,Metagenome,3300010885,Linear,12748,Seed,IMG_VR_0866,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Unclassified,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0867,IMGVR_UViG_3300010885_000111|3300010885|Ga0133913_10039131,IMG_VR v3,Metagenome,3300010885,Linear,12730,Clustered,IMG_VR_0660,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0868,IMGVR_UViG_3300010885_000112|3300010885|Ga0133913_10039588,IMG_VR v3,Metagenome,3300010885,Linear,12658,Seed,IMG_VR_0868,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Burtonviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0869,IMGVR_UViG_3300010885_000113|3300010885|Ga0133913_10040121,IMG_VR v3,Metagenome,3300010885,Linear,12578,Seed,IMG_VR_0869,Partial,ATPase MCP Penton,NA,NA,Maveriviricetes;Priklausovirales;Gulliviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0870,IMGVR_UViG_3300010885_000114|3300010885|Ga0133913_10040382,IMG_VR v3,Metagenome,3300010885,Linear,12537,Seed,IMG_VR_0870,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Unclassified,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0871,IMGVR_UViG_3300010885_000115|3300010885|Ga0133913_10040671,IMG_VR v3,Metagenome,3300010885,Linear,12497,Seed,IMG_VR_0871,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Omnilimnoviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0872,IMGVR_UViG_3300010885_000117|3300010885|Ga0133913_10042115,IMG_VR v3,Metagenome,3300010885,Linear,12274,Seed,IMG_VR_0872,Partial,ATPase MCP Penton,NA,NA,Maveriviricetes;Unclassified,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0873,IMGVR_UViG_3300010885_000118|3300010885|Ga0133913_10042428,IMG_VR v3,Metagenome,3300010885,Linear,12226,Clustered,IMG_VR_1331,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0874,IMGVR_UViG_3300010885_000121|3300010885|Ga0133913_10044899,IMG_VR v3,Metagenome,3300010885,Linear,11881,Seed,IMG_VR_0874,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Omnilimnoviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0875,IMGVR_UViG_3300010885_000122|3300010885|Ga0133913_10044996,IMG_VR v3,Metagenome,3300010885,Linear,11867,Seed,IMG_VR_0875,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Unclassified,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0876,IMGVR_UViG_3300010885_000123|3300010885|Ga0133913_10045614,IMG_VR v3,Metagenome,3300010885,Linear,11784,Clustered,IMG_VR_1361,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0877,IMGVR_UViG_3300010885_000124|3300010885|Ga0133913_10046103,IMG_VR v3,Metagenome,3300010885,Linear,11721,Seed,IMG_VR_0877,Partial,ATPase MCP Penton,NA,NA,Maveriviricetes;Priklausovirales;Omnilimnoviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0878,IMGVR_UViG_3300010885_000125|3300010885|Ga0133913_10046438,IMG_VR v3,Metagenome,3300010885,Linear,11679,Seed,IMG_VR_0878,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Unclassified,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0879,IMGVR_UViG_3300010885_000126|3300010885|Ga0133913_10047170,IMG_VR v3,Metagenome,3300010885,Linear,11580,Clustered,IMG_VR_0616,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0880,IMGVR_UViG_3300010885_000127|3300010885|Ga0133913_10048336,IMG_VR v3,Metagenome,3300010885,Linear,11431,Seed,IMG_VR_0880,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Unclassified,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0881,IMGVR_UViG_3300010885_000128|3300010885|Ga0133913_10048399,IMG_VR v3,Metagenome,3300010885,Linear,11423,Seed,IMG_VR_0881,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Mividavirales;Sputniviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0882,IMGVR_UViG_3300010885_000129|3300010885|Ga0133913_10048696,IMG_VR v3,Metagenome,3300010885,Linear,11389,Seed,IMG_VR_0882,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Burtonviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0883,IMGVR_UViG_3300010885_000131|3300010885|Ga0133913_10050377,IMG_VR v3,Metagenome,3300010885,Linear,11183,Clustered,IMG_VR_0692,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0884,IMGVR_UViG_3300010885_000132|3300010885|Ga0133913_10050520,IMG_VR v3,Metagenome,3300010885,Linear,11164,Seed,IMG_VR_0884,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Burtonviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0885,IMGVR_UViG_3300010885_000133|3300010885|Ga0133913_10050536,IMG_VR v3,Metagenome,3300010885,Linear,11162,Clustered,IMG_VR_0461,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0886,IMGVR_UViG_3300010885_000134|3300010885|Ga0133913_10051232,IMG_VR v3,Metagenome,3300010885,Linear,11083,Seed,IMG_VR_0886,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Burtonviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0887,IMGVR_UViG_3300010885_000135|3300010885|Ga0133913_10055753,IMG_VR v3,Metagenome,3300010885,Linear,10610,Seed,IMG_VR_0887,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Unclassified,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0888,IMGVR_UViG_3300010885_000136|3300010885|Ga0133913_10055830,IMG_VR v3,Metagenome,3300010885,Linear,10602,Clustered,IMG_VR_0618,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0889,IMGVR_UViG_3300010885_000137|3300010885|Ga0133913_10055954,IMG_VR v3,Metagenome,3300010885,Linear,10589,Clustered,IMG_VR_0462,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0890,IMGVR_UViG_3300010885_000138|3300010885|Ga0133913_10057919,IMG_VR v3,Metagenome,3300010885,Linear,10398,Seed,IMG_VR_0890,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Burtonviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0891,IMGVR_UViG_3300010885_000139|3300010885|Ga0133913_10058147,IMG_VR v3,Metagenome,3300010885,Linear,10376,Clustered,IMG_VR_0504,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0892,IMGVR_UViG_3300010885_000141|3300010885|Ga0133913_10058591,IMG_VR v3,Metagenome,3300010885,Linear,10335,Clustered,IMG_VR_0716,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0893,IMGVR_UViG_3300010885_000142|3300010885|Ga0133913_10059146,IMG_VR v3,Metagenome,3300010885,Linear,10282,Clustered,IMG_VR_1369,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0894,IMGVR_UViG_3300010885_000143|3300010885|Ga0133913_10060220,IMG_VR v3,Metagenome,3300010885,Linear,10180,Seed,IMG_VR_0894,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Unclassified,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0895,IMGVR_UViG_3300010885_000144|3300010885|Ga0133913_10061498,IMG_VR v3,Metagenome,3300010885,Linear,10069,Seed,IMG_VR_0895,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Burtonviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0896,IMGVR_UViG_3300010885_000145|3300010885|Ga0133913_10061853,IMG_VR v3,Metagenome,3300010885,Linear,10037,Clustered,IMG_VR_0584,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0897,IMGVR_UViG_3300010885_000146|3300010885|Ga0133913_10063584,IMG_VR v3,Metagenome,3300010885,Linear,9893,Clustered,IMG_VR_0595,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0898,IMGVR_UViG_3300010885_000148|3300010885|Ga0133913_10063795,IMG_VR v3,Metagenome,3300010885,Linear,9877,Seed,IMG_VR_0898,Partial,MCP Penton,NA,NA,Maveriviricetes;Priklausovirales;Dishuiviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0899,IMGVR_UViG_3300010885_000149|3300010885|Ga0133913_10063814,IMG_VR v3,Metagenome,3300010885,Linear,9876,Seed,IMG_VR_0899,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Unclassified,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0900,IMGVR_UViG_3300010885_000152|3300010885|Ga0133913_10069667,IMG_VR v3,Metagenome,3300010885,Linear,9437,Clustered,IMG_VR_0510,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0901,IMGVR_UViG_3300010885_000159|3300010885|Ga0133913_10073360,IMG_VR v3,Metagenome,3300010885,Linear,9182,Clustered,IMG_VR_0473,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0902,IMGVR_UViG_3300010885_000161|3300010885|Ga0133913_10073431,IMG_VR v3,Metagenome,3300010885,Linear,9178,Clustered,IMG_VR_0468,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0903,IMGVR_UViG_3300010885_000162|3300010885|Ga0133913_10073506,IMG_VR v3,Metagenome,3300010885,Linear,9172,Seed,IMG_VR_0903,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Unclassified,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0904,IMGVR_UViG_3300010885_000166|3300010885|Ga0133913_10076442,IMG_VR v3,Metagenome,3300010885,Linear,8981,Seed,IMG_VR_0904,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Dishuiviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0905,IMGVR_UViG_3300010885_000167|3300010885|Ga0133913_10079216,IMG_VR v3,Metagenome,3300010885,Linear,8812,Seed,IMG_VR_0905,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Omnilimnoviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0906,IMGVR_UViG_3300010885_000170|3300010885|Ga0133913_10079639,IMG_VR v3,Metagenome,3300010885,Linear,8786,Seed,IMG_VR_0906,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Omnilimnoviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0907,IMGVR_UViG_3300010885_000173|3300010885|Ga0133913_10081904,IMG_VR v3,Metagenome,3300010885,Linear,8654,Seed,IMG_VR_0907,Partial,ATPase MCP Penton,NA,NA,Maveriviricetes;Priklausovirales;Omnilimnoviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0908,IMGVR_UViG_3300010885_000175|3300010885|Ga0133913_10083555,IMG_VR v3,Metagenome,3300010885,Linear,8562,Seed,IMG_VR_0908,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Unclassified,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0909,IMGVR_UViG_3300010885_000176|3300010885|Ga0133913_10083912,IMG_VR v3,Metagenome,3300010885,Linear,8543,Seed,IMG_VR_0909,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Dishuiviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0910,IMGVR_UViG_3300010885_000177|3300010885|Ga0133913_10087213,IMG_VR v3,Metagenome,3300010885,Linear,8366,Clustered,IMG_VR_0553,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0911,IMGVR_UViG_3300010885_000179|3300010885|Ga0133913_10088159,IMG_VR v3,Metagenome,3300010885,Linear,8316,Seed,IMG_VR_0911,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Unclassified,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0912,IMGVR_UViG_3300010885_000181|3300010885|Ga0133913_10088598,IMG_VR v3,Metagenome,3300010885,Linear,8296,Seed,IMG_VR_0912,Partial,ATPase MCP Penton,NA,NA,Maveriviricetes;Priklausovirales;Omnilimnoviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0913,IMGVR_UViG_3300010885_000183|3300010885|Ga0133913_10091266,IMG_VR v3,Metagenome,3300010885,Linear,8169,Seed,IMG_VR_0913,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Burtonviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0914,IMGVR_UViG_3300010885_000185|3300010885|Ga0133913_10093062,IMG_VR v3,Metagenome,3300010885,Linear,8080,Seed,IMG_VR_0914,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Unclassified,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0915,IMGVR_UViG_3300010885_000187|3300010885|Ga0133913_10093537,IMG_VR v3,Metagenome,3300010885,Linear,8057,Seed,IMG_VR_0915,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Burtonviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0916,IMGVR_UViG_3300010885_000188|3300010885|Ga0133913_10102046,IMG_VR v3,Metagenome,3300010885,Linear,7683,Clustered,IMG_VR_0731,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0917,IMGVR_UViG_3300010885_000189|3300010885|Ga0133913_10104730,IMG_VR v3,Metagenome,3300010885,Linear,7578,Seed,IMG_VR_0917,Partial,ATPase MCP Penton,NA,NA,Maveriviricetes;Priklausovirales;Dishuiviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0918,IMGVR_UViG_3300010885_000191|3300010885|Ga0133913_10105779,IMG_VR v3,Metagenome,3300010885,Linear,7540,Clustered,IMG_VR_0545,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0919,IMGVR_UViG_3300010885_000196|3300010885|Ga0133913_10114015,IMG_VR v3,Metagenome,3300010885,Linear,7243,Seed,IMG_VR_0919,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Unclassified,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0920,IMGVR_UViG_3300010885_000199|3300010885|Ga0133913_10122013,IMG_VR v3,Metagenome,3300010885,Linear,6984,Seed,IMG_VR_0920,Partial,MCP Penton,NA,NA,Maveriviricetes;Priklausovirales;Burtonviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0921,IMGVR_UViG_3300010885_000200|3300010885|Ga0133913_10123956,IMG_VR v3,Metagenome,3300010885,Linear,6922,Seed,IMG_VR_0921,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Burtonviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0922,IMGVR_UViG_3300010885_000202|3300010885|Ga0133913_10127114,IMG_VR v3,Metagenome,3300010885,Linear,6825,Seed,IMG_VR_0922,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Burtonviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0923,IMGVR_UViG_3300010885_000204|3300010885|Ga0133913_10128570,IMG_VR v3,Metagenome,3300010885,Linear,6782,Clustered,IMG_VR_0509,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
